name,multiverse_id,layout,names,mana_cost,cmc,colors,color_identity,type,supertypes,subtypes,rarity,text,flavor,artist,number,power,toughness,loyalty,variations
Air Elemental,129459,normal,,{3}{U}{U},5,['U'],['U'],Creature — Elemental,,['Elemental'],Uncommon,Flying,"""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""
—Joseph Conrad, *The Mirror of the Sea*",Kev Walker,64,4,4,,['76d4f437-02e5-5f1c-a1d3-eddb55e8725d']
Air Elemental,,normal,,{3}{U}{U},5,['U'],['U'],Creature — Elemental,,['Elemental'],Uncommon,Flying,"""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""
—Joseph Conrad, *The Mirror of the Sea*",Kev Walker,64★,4,4,,['76ddd7f5-1a84-55d5-98f5-4883c217e0d8']
Ambassador Laquatus,129913,normal,,{1}{U}{U},3,['U'],['U'],Legendary Creature — Merfolk Wizard,['Legendary'],"['Merfolk', 'Wizard']",Rare,{3}: Target player mills three cards.,"""Life is a game. The only thing that matters is whether you're a pawn or a player.""",Jim Murray,65,1,3,,
Arcanis the Omnipotent,106426,normal,,{3}{U}{U}{U},6,['U'],['U'],Legendary Creature — Wizard,['Legendary'],['Wizard'],Rare,"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.","""Do not concern yourself with my origin, my race, or my ancestry. Seek my record in the pits, and then make your wager.""",Justin Sweet,66,3,4,,
Aura Graft,130976,normal,,{1}{U},2,['U'],['U'],Instant,,,Uncommon,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,"""It's not really stealing. It's more like extended borrowing.""",Ray Lago,67,,,,
Aven Fisher,130985,normal,,{3}{U},4,['U'],['U'],Creature — Bird Soldier,,"['Bird', 'Soldier']",Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.",The same spears that catch their food today will defend their homes tomorrow.,Christopher Moeller,68,2,2,,['e4b4684b-8e14-5fcf-9286-497b7afd5b3a']
Aven Fisher,,normal,,{3}{U},4,['U'],['U'],Creature — Bird Soldier,,"['Bird', 'Soldier']",Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.",The same spears that catch their food today will defend their homes tomorrow.,Christopher Moeller,68★,2,2,,['758df5d5-992f-5d30-b6bc-87cb1a0788ab']
Aven Windreader,129473,normal,,{3}{U}{U},5,['U'],['U'],Creature — Bird Soldier Wizard,,"['Bird', 'Soldier', 'Wizard']",Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.","""The tiniest ripple tells a story ten fathoms deep.""",Greg Hildebrandt,69,3,3,,['e11ae348-44d1-5d45-bc5c-99a44d2acd5c']
Aven Windreader,,normal,,{3}{U}{U},5,['U'],['U'],Creature — Bird Soldier Wizard,,"['Bird', 'Soldier', 'Wizard']",Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.","""The tiniest ripple tells a story ten fathoms deep.""",Greg Hildebrandt,69★,3,3,,['d833c453-58c5-5ff6-91b2-f526ca5f808a']
Boomerang,129494,normal,,{U}{U},2,['U'],['U'],Instant,,,Common,Return target permanent to its owner's hand.,Early Jamuraan hunters devised a weapon that would return to its source. Tolarian Aethermancers developed a spell that skipped the weapon entirely.,Arnie Swekel,70,,,,
Cancel,129882,normal,,{1}{U}{U},3,['U'],['U'],Instant,,,Common,Counter target spell.,,Mark Poole,71,,,,
Cephalid Constable,135261,normal,,{1}{U}{U},3,['U'],['U'],Creature — Cephalid Wizard,,"['Cephalid', 'Wizard']",Rare,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owner's hand.",Cephalids don't police people. They police loyalties.,Alan Pollack,72,1,1,,
Clone,129501,normal,,{3}{U},4,['U'],['U'],Creature — Shapeshifter,,['Shapeshifter'],Rare,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,,Kev Walker,73,0,0,,
Cloud Elemental,129804,normal,,{2}{U},3,['U'],['U'],Creature — Elemental,,['Elemental'],Common,"Flying
Cloud Elemental can block only creatures with flying.",The soratami surround their sky-castles with living clouds that serve as both sword and shield.,Michael Sutfin,74,2,3,,['4fed8c53-5ff9-51ce-a7a8-2fc629bf3d24']
Cloud Elemental,,normal,,{2}{U},3,['U'],['U'],Creature — Elemental,,['Elemental'],Common,"Flying
Cloud Elemental can block only creatures with flying.",The soratami surround their sky-castles with living clouds that serve as both sword and shield.,Michael Sutfin,74★,2,3,,['596a7bd4-895b-5e7c-8124-373fd709444d']
Cloud Sprite,132069,normal,,{U},1,['U'],['U'],Creature — Faerie,,['Faerie'],Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Cloud Sprite can block only creatures with flying.","The delicate sprites carry messages for Saprazzans, but they refuse to land in Mercadia City's filthy markets.",Mark Zug,75,1,1,,['ba5acf09-98cc-5052-b65e-c5145e92fc1a']
Cloud Sprite,,normal,,{U},1,['U'],['U'],Creature — Faerie,,['Faerie'],Common,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Cloud Sprite can block only creatures with flying.","The delicate sprites carry messages for Saprazzans, but they refuse to land in Mercadia City's filthy markets.",Mark Zug,75★,1,1,,['fdbec3b3-f6f2-5149-a70a-4f9d2622a87b']
Counsel of the Soratami,134757,normal,,{2}{U},3,['U'],['U'],Sorcery,,,Common,Draw two cards.,"""Wisdom is not the counting of all the drops in a waterfall. Wisdom is learning why the water seeks the earth.""",Randy Gallegos,76,,,,
Crafty Pathmage,134758,normal,,{2}{U},3,['U'],['U'],Creature — Human Wizard,,"['Human', 'Wizard']",Common,{T}: Target creature with power 2 or less can't be blocked this turn.,"Follow the pathmage
—Otarian expression meaning ""escape quickly""",Wayne England,77,1,1,,
Dehydration,129521,normal,,{3}{U},4,['U'],['U'],Enchantment — Aura,,['Aura'],Common,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature doesn't untap during its controller's untap step.",,Arnie Swekel,78,,,,['2bbaf3d6-9fbc-5ab8-93d3-d26e2ddec999']
Dehydration,,normal,,{3}{U},4,['U'],['U'],Enchantment — Aura,,['Aura'],Common,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature doesn't untap during its controller's untap step.",The viashino used the spell to dry foods for crossing the Great Desert. The Suq'Ata later discovered its use in war.,Arnie Swekel,78★,,,,['5a50a7e8-2ed1-5e8a-8867-c96f1186bd47']
Deluge,135223,normal,,{2}{U},3,['U'],['U'],Instant,,,Uncommon,Tap all creatures without flying.,"""From the sea came all life, and to the sea it will return. The sooner the better.""
—Emperor Aboshan",Wayne England,79,,,,
Denizen of the Deep,135250,normal,,{6}{U}{U},8,['U'],['U'],Creature — Serpent,,['Serpent'],Rare,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","According to merfolk legend, a denizen of the deep swallows the horizon at the end of each day, bringing on the cold blanket of night.",Jim Pavelec,80,11,11,,
Discombobulate,134749,normal,,{2}{U}{U},4,['U'],['U'],Instant,,,Uncommon,"Counter target spell. Look at the top four cards of your library, then put them back in any order.","""I said 'pick his brain,' not 'tear off his head.'""
—Riptide Project researcher",Alex Horley-Orlandelli,81,,,,
Dreamborn Muse,135246,normal,,{2}{U}{U},4,['U'],['U'],Creature — Spirit,,['Spirit'],Rare,"At the beginning of each player's upkeep, that player mills X cards, where X is the number of cards in their hand.","""Her voice is insight, piercing and true.""
—Ixidor, reality sculptor",Kev Walker,82,2,2,,
Evacuation,129541,normal,,{3}{U}{U},5,['U'],['U'],Instant,,,Rare,Return all creatures to their owners' hands.,"""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""
—Alexi, zephyr mage",Franz Vohwinkel,83,,,,
Flashfreeze,129908,normal,,{1}{U},2,['U'],['U'],Instant,,,Uncommon,Counter target red or green spell.,"""Nature? Fire? Bah! Both are chaotic and difficult to control. Ice is structured, latticed, light as a feather, massive as a glacier. In ice, there is power!""
—Heidar, Rimewind master",Brian Despain,84,,,,
Fog Elemental,132073,normal,,{2}{U},3,['U'],['U'],Creature — Elemental,,['Elemental'],Uncommon,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Fog Elemental attacks or blocks, sacrifice it at end of combat.","""It's the perfect sentry. Those who should pass can go right through it.""
—Teferi",Jon J Muth,85,4,4,,['6c515488-2a63-5b1e-84a4-987b5fa993af']
Fog Elemental,,normal,,{2}{U},3,['U'],['U'],Creature — Elemental,,['Elemental'],Uncommon,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Fog Elemental attacks or blocks, sacrifice it at end of combat.","""It's the perfect sentry. Those who should pass can go right through it.""
—Teferi",Jon J Muth,85★,4,4,,['5d45d146-5a42-502e-affb-71f3e81cf7e0']
Fugitive Wizard,134762,normal,,{U},1,['U'],['U'],Creature — Human Wizard,,"['Human', 'Wizard']",Common,,"""The law has its place—as a footnote in my spellbook.""
—Siyani, fugitive mage",Mark Zug,86,1,1,,
Horseshoe Crab,129596,normal,,{2}{U},3,['U'],['U'],Creature — Crab,,['Crab'],Common,{U}: Untap Horseshoe Crab.,"""Hmm . . . It looks kinda like a bug. Let's crack it open an' see if it tastes like one!""
—Squee, goblin cabin hand",Scott Kirschner,87,1,3,,
Hurkyl's Recall,135260,normal,,{1}{U},2,['U'],['U'],Instant,,,Rare,Return all artifacts target player owns to their hand.,"Hurkyl's research at the College of Lat-Nam wasn't enough to stop the two brothers, but for centuries thereafter her spellcraft taught artificers restraint.",Ralph Horsley,88,,,,
Lumengrid Warden,129631,normal,,{1}{U},2,['U'],['U'],Creature — Human Wizard,,"['Human', 'Wizard']",Common,,The wardens keep watch over an endless sea of progress.,Francis Tsai,89,1,3,,
Mahamoti Djinn,129633,normal,,{4}{U}{U},6,['U'],['U'],Creature — Djinn,,['Djinn'],Rare,Flying (This creature can't be blocked except by creatures with flying or reach.),"Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",Greg Staples,90,5,6,,['206c4a07-1442-5fee-acd8-7a8a00da57a4']
Mahamoti Djinn,,normal,,{4}{U}{U},6,['U'],['U'],Creature — Djinn,,['Djinn'],Rare,Flying (This creature can't be blocked except by creatures with flying or reach.),"Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",Greg Staples,90★,5,6,,['404d6f98-eefb-5dea-8e81-aed2b5956437']
March of the Machines,106555,normal,,{3}{U},4,['U'],['U'],Enchantment,,,Rare,Each noncreature artifact is an artifact creature with power and toughness each equal to its mana value. (Equipment that's a creature can't equip a creature.),,Ben Thompson,91,,,,['82306a22-03b6-5cbd-ba72-0002755c4217']
March of the Machines,,normal,,{3}{U},4,['U'],['U'],Enchantment,,,Rare,Each noncreature artifact is an artifact creature with power and toughness each equal to its mana value. (Equipment that's a creature can't equip a creature.),,Ben Thompson,91★,,,,['60961bae-4655-5a6b-843d-f6180c2c310d']
Merfolk Looter,130900,normal,,{1}{U},2,['U'],['U'],Creature — Merfolk Rogue,,"['Merfolk', 'Rogue']",Common,"{T}: Draw a card, then discard a card.","It belongs to the merfolk now.
—Shipwreck prayer",Tristan Elwell,92,1,1,,
Mind Bend,129644,normal,,{U},1,['U'],['U'],Instant,,,Rare,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)",,Mike Dringenberg,93,,,,['b00ad339-0cc1-59d4-b8a4-c827b6512b6c']
Mind Bend,,normal,,{U},1,['U'],['U'],Instant,,,Rare,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)","""The world, I've come to realize, is a blank canvas on which to paint.""
—Ixidor, reality sculptor",Mike Dringenberg,93★,,,,['7cf5654d-d547-50ce-838a-75ff6045fd0f']
Peek,130903,normal,,{U},1,['U'],['U'],Instant,,,Common,"Look at target player's hand.
Draw a card.",Sometimes you have to read between the minds.,Adam Rex,94,,,,
Persuasion,129900,normal,,{3}{U}{U},5,['U'],['U'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
You control enchanted creature.",There's no telling what an accomplished mage might collect.,William O'Connor,95,,,,['022ee2d2-d02b-580e-a549-ed9555ef9153']
Persuasion,,normal,,{3}{U}{U},5,['U'],['U'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
You control enchanted creature.",There's no telling what an accomplished mage might collect.,William O'Connor,95★,,,,['b4f659b7-bef9-527b-95e8-55cc9c444ea4']
Phantom Warrior,132064,normal,,{1}{U}{U},3,['U'],['U'],Creature — Illusion Warrior,,"['Illusion', 'Warrior']",Uncommon,Phantom Warrior can't be blocked.,"""There are as many pillows of illusion as flakes in a snow-storm. We wake from one dream into another dream.""
—Ralph Waldo Emerson, ""Illusions""",Greg Staples,96,2,2,,
Plagiarize,129883,normal,,{3}{U},4,['U'],['U'],Instant,,,Rare,"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card.","""Are you thinking what I'm thinking?""",Jeremy Jarvis,97,,,,
Puppeteer,129685,normal,,{2}{U},3,['U'],['U'],Creature — Human Wizard,,"['Human', 'Wizard']",Uncommon,"{U}, {T}: You may tap or untap target creature.","""That's the funny thing about free will. You don't feel any different without it.""
—Ambassador Laquatus",Kev Walker,98,1,2,,
Reminisce,129698,normal,,{2}{U},3,['U'],['U'],Sorcery,,,Uncommon,Target player shuffles their graveyard into their library.,Leave the door to the past even slightly ajar and it could be blown off its hinges.,Ralph Horsley,99,,,,
Remove Soul,129699,normal,,{1}{U},2,['U'],['U'],Instant,,,Common,Counter target creature spell.,"When your enemies are denied soldiers, they are denied victory.",Adam Rex,100,,,,
Robe of Mirrors,134764,normal,,{U},1,['U'],['U'],Enchantment — Aura,,['Aura'],Common,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has shroud. (It can't be the target of spells or abilities.)",,Christopher Moeller,101,,,,['23aabc91-9146-5367-9cce-4fe955861abb']
Robe of Mirrors,,normal,,{U},1,['U'],['U'],Enchantment — Aura,,['Aura'],Common,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has shroud. (It can't be the target of spells or abilities.)","""Some say you cannot hit what you cannot see. I prefer that you hit what I want you to see.""
—Arcanis the Omnipotent",Christopher Moeller,101★,,,,['9626b37d-3a04-5cd6-a636-943981354e2b']
Rootwater Commando,129733,normal,,{2}{U},3,['U'],['U'],Creature — Merfolk,,['Merfolk'],Common,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),"Rootwater merfolk are seldom seen these days, but elf corpses are as numerous as ever.",Mark Tedin,102,2,2,,['f76ee94d-b1a1-5c9f-bdc8-4bf659844cd8']
